filename,title,description,feature,topic,role,level
metadata.md,,,,,,
./help/TOC.md,,,,,,
./help/target-home.md,Where can I find Target documentation?,"Learn how to use Adobe Target to personalize your customers’ experience to maximize revenue on your web and mobile sites, apps, and other digital channels.",Overview,,,
help/r-release-notes/target-announcements.md,Where Can I find Target Announcements and Events?,"Read announcements and sign up for Adobe Target events, including Skill Builder sessions, developer and product manager chats, webinars, and more.",Release Notes,,,
./help/r-release-notes/release-notes.md,What New Features Are Included in the current Release?,"Learn about the new features, enhancements, and fixes included in the current release of Adobe Target, including SDKs, APIs, and JavaScript libraries.",Release Notes,,,
./help/r-release-notes/target-release-notes.md,What New Features Are Included in the Upcoming Release?,"Learn about the new features, enhancements, and fixes included in the upcoming release of Adobe Target, including SDKs, APIs, and JavaScript libraries.",Release Notes,,,
help/r-release-notes/target-documentation.md,Where can I find documentation for Target?,"Access Adobe Target documentation, including online help, tutorials, videos, and developer documentation (SDKs, APIs, and JavaScript libraries).",Release Notes,,,
help/r-release-notes/target-insider-newsletter.md,What is the Adobe Target Insider Newsletter?,"Read the latest news about Adobe Target. Find information about upcoming events, customer success stories, information and tips from the experts, and more.","Release Notes, Overview",,,
./help/r-release-notes/known-issues-resolved-issues.md,Where Can I Find Information About Known Issues and Resolved Issues?,"Find information about known issues in Adobe Target, including workaround information. When issues are resolved, they are moved to the Resolved section.",Release Notes,,,
./help/r-release-notes/system-status-updates.md,Where Can I view the status of Target and other Adobe Products?,View the current status of Adobe Target to help you determine whether problems you might encounter are due to system updates or routine maintenance.,Release Notes,,,
./help/r-release-notes/doc-change.md,Where Can I View Documentation Updates for Target?,Keep up to date with important additions and changes to the Adobe Target product documentation.,Release Notes,,,
./help/r-release-notes/release-notes-for-previous-releases.md,What Features Are Included in Previous Releases?,"View a list of features, enhancements, and fixes included in previous releases of Adobe Target.",Release Notes,,,
./help/c-intro/intro.md,What is Target?,Learn the basics of Adobe Target Standard and Adobe Target Premium. Target Premium includes advanced features not available in standard product.,Overview,,,
./help/c-intro/target-access-from-mac.md,How Do I Access Target From the Adobe Experience Cloud?,"Learn how to access Target from the Adobe Experience Cloud, set your default view, and change the language of the Target UI and documentation.",Overview,,,
./help/c-intro/target-key-concepts.md,How do I use Target?,"Learn the basics of Adobe Target. This is a good place to become acquainted with Target, its activity types, and other features.",Overview,,,
help/c-intro/understand-the-target-ui.md,How Do I Use the Target UI?,Familiarize yourself with the user interface and find links to more in-depth information to help you get the most out of Target.,Overview,,,
help/c-intro/target-welcome-kit.md,How Do I Get Started with Target,New to Adobe Target? Get a jump-start with the Adobe Target Welcome Kit.,Overview,,,
help/c-intro/target-welcome-kit-1.md,How Do I Get Started with Target?,Kick start your optimization and personalization program with Adobe Target. The Adobe Target Welcome Kit is a good starting place.,Overview,,,
help/c-intro/target-welcome-kit-2.md,Where Can I Find a High-level Introduction to Target?,"Take a high-level look at Adobe Target. Learn about available activities, channels, implementation, integrations, and more.",Overview,,,
help/c-intro/target-welcome-kit-3.md,How Can I Develop My Testing and Personalization Ideas?,Learn six steps that outline a proven process for improving your testing and personalization ideas before creating activities in Adobe Target.,Overview,,,
help/c-intro/target-welcome-kit-4.md,Where Can I Find Tips and Tricks for Using Target?,Read tips from our panel of experts about using Adobe Target as part of your testing and personalization efforts.,Overview,,,
help/c-intro/target-welcome-kit-5.md,Where Can I Find Inspiration for My Testing and Personalization Efforts?,Where can I find ideas and inspiration for my testing and personalization activities using Adobe Target.,Overview,,,
help/c-intro/target-welcome-kit-6.md,What are Common Mistakes When Using Target and How Can I Avoid Them?,Learn from others' mistakes so that you don't make the same ones when using Adobe Target as part of your testing and personalization strategy.,Overview,,,
help/c-intro/target-welcome-kit-7.md,I Need to Create My Fist Activity in Target. Where Do I Start?,Let's get started with your first activity in Adobe Target so you can obtain ROI on your investment.,Overview,,,
help/c-intro/target-welcome-kit-8.md,How Can I Share the Results of My Target Actities with My Organization?,Ust the Executive Summary Results template to help you communicate your successes with your Adobe Target activities.,Overview,,,
help/c-intro/target-welcome-kit-9.md,Where Can I Find Additional Resources to More Effectively Use Target?,"You've create your first activity in Adobe Target. What's next? Use this article to find links to additional resouces, training tutorials, and how-to videos.",Overview,,,
./help/c-intro/glossary.md,Where Can I Find Terms and Definitions Used in Target?,What do different terms used in Adobe Target mean? Find definitions of common terms to help you get more out Target.,Overview,,,
./help/c-intro/how-target-works.md,How Does Target Work?,"Learn about how Adobe Target works, including information about the Target JavaScript libraries (at.js and AEP Web SDK), Adobe data centers, and SEO testing.",Overview,,,
./help/c-intro/training-and-certification.md,Where Can I Find Training and Certification classes?,Find Adobe Target classes and certifications offered by Adobe Training Services.,Overview,,,
./help/c-intro/target-standard-premium-training-videos.md,Where Can I Find Target Training Videos?,Watch training videos to help you get the most out of Target Standard and Target Premium.,Overview,,,
